key,frames,ref_notes,est_notes
M04_0489_0001_2_D,1372,24,23
M04_0489_0002_1_D,1372,24,25
M04_0489_0002_2_D,1372,24,26
M05_0024_0001_2_D,1370,18,19
M05_0024_0002_1_D,1544,18,19
M05_0024_0002_2_D,1544,18,19
M05_0024_0003_1_D,1544,18,19
M05_0024_0003_2_D,1544,18,18
M05_0036_0001_1_D,801,24,26
M05_0036_0001_2_D,801,24,24
M05_0036_0002_1_D,801,24,25
M05_0036_0002_2_D,801,24,24
M05_0047_0001_1_DD,1938,43,35
M05_0047_0001_2_DD,1938,43,36
M05_0047_0002_1_DD,938,23,21
M05_0047_0002_2_DD,938,23,21
M05_0052_0001_2_D,1985,22,26
M05_0067_0002_1_D,2114,48,45
M05_0095_0001_2_D,2001,44,36
M05_0095_0002_1_D,1001,22,23
M05_0095_0002_2_D,1001,22,23
M05_0095_0003_1_D,1001,22,22
M05_0095_0003_2_D,1001,22,22
M05_0113_0001_1_D,873,20,19
M05_0113_0001_2_D,873,20,20
M05_0126_0001_1_D,1754,28,29
M05_0126_0002_1_D,2170,28,28
M05_0126_0002_2_D,2170,28,30
M05_0143_0001_2_D,1566,34,32
M05_0143_0002_1_D,914,23,22
M05_0143_0002_2_D,914,23,23
M05_0167_0002_1,1248,17,18
M05_0167_0002_2_D,1244,17,18
M05_0195_0001_2_D,961,27,25
M05_0265_0001_2,1708,29,29
M05_0265_0002_1,1938,37,35
M05_0265_0002_2,1938,37,35
M05_0329_0001_1,759,18,17
M05_0329_0002_2,977,21,21
M05_0347_0002_1,1659,37,36
M05_0347_0002_2,1659,37,39
M05_0459_0001_2,976,29,27
M05_0477_0001_1,2086,35,36
